transaction_amount,avg_amount_30d,amount_to_avg_ratio,account_age_days,previous_chargebacks,tx_last_1h,tx_last_24h,transaction_hour,is_night_transaction,is_international,is_high_risk_merchant,merchant_category,country,device_type,TX_FRAUD
27.29,75.98,0.3592,150,0,0,8,17,0,1,0,grocery,IN,tablet,0
48.4,48.93,0.9891,40,0,1,4,21,0,1,0,grocery,IN,mobile,0
127.36,50.8,2.5071,208,0,2,7,9,0,1,0,food_delivery,IN,mobile,0
105.27,38.78,2.7142,951,0,1,7,9,0,1,0,electronics,BR,desktop,0
25.13,41.09,0.6115,41,0,3,5,8,0,1,0,travel,BR,mobile,0
197.69,57.06,3.4647,372,1,0,9,22,1,0,0,food_delivery,US,mobile,0
118.2,40.78,2.8989,1,1,1,4,9,0,1,0,fuel,DE,mobile,0
83.57,123.56,0.6763,243,1,0,3,20,0,1,0,fashion,IN,desktop,0
10.1,36.67,0.2755,315,0,0,8,17,0,1,0,grocery,FR,tablet,0
82.53,73.42,1.1241,156,0,0,6,3,1,0,1,grocery,US,mobile,0
30.13,72.18,0.4174,44,0,0,8,21,0,0,0,electronics,US,mobile,0
52.44,77.92,0.673,131,0,0,1,11,0,0,0,fuel,US,mobile,0
34.02,98.92,0.344,333,0,0,7,13,0,1,1,fashion,UK,mobile,0
7.98,100.2,0.0796,1849,1,0,5,16,0,0,0,food_delivery,US,tablet,0
120.99,55.94,2.1628,694,0,0,1,16,0,1,1,electronics,IN,desktop,0
74.27,79.03,0.9399,569,0,0,8,21,0,1,0,fashion,AE,tablet,0
49.46,30.26,1.6345,314,1,0,7,16,0,0,0,fashion,US,mobile,0
149.95,188.6,0.7951,495,0,2,6,20,0,1,0,restaurant,IN,tablet,0
70.21,48.54,1.4463,1,0,0,10,11,0,0,0,grocery,US,desktop,0
32.04,29.85,1.0735,78,0,0,6,22,1,1,0,fuel,UK,tablet,0
257.65,46.41,5.5512,1167,0,0,6,21,0,0,0,restaurant,US,mobile,0
138.88,76.11,1.8247,213,0,0,3,9,0,1,0,restaurant,CA,tablet,0
53.9,120.12,0.4487,253,0,1,3,17,0,0,0,digital,US,desktop,0
51.03,74.43,0.6856,117,1,2,5,5,1,1,0,restaurant,SG,desktop,0
178.22,68.95,2.5846,176,0,1,3,12,0,0,0,grocery,US,mobile,0
48.61,111.07,0.4376,229,0,3,9,16,0,1,0,restaurant,BR,mobile,0
168.81,57.67,2.9273,278,1,0,8,15,0,0,0,restaurant,US,pos,0
26.25,61.69,0.4255,451,0,2,5,9,0,0,1,electronics,US,desktop,0
187.55,91.26,2.055,84,1,1,11,10,0,1,0,fashion,CA,tablet,0
57.59,114.69,0.5021,1620,1,1,6,8,0,0,0,food_delivery,US,mobile,0
110.31,85.57,1.2891,884,0,2,12,22,1,1,0,electronics,UK,mobile,0
60.73,30.63,1.9829,118,0,1,3,21,0,1,0,restaurant,FR,desktop,0
23.74,152.3,0.1559,983,0,1,4,20,0,1,0,food_delivery,IN,mobile,0
118.78,73.06,1.6258,1135,0,2,3,10,0,0,0,grocery,US,mobile,0
50.18,19.44,2.5813,157,2,0,8,18,0,1,0,grocery,CA,mobile,0
12.99,47.46,0.2737,248,0,0,6,20,0,1,0,grocery,UK,mobile,0
37.43,125.9,0.2973,729,0,2,6,0,1,1,0,travel,CA,mobile,0
23.98,33.65,0.7126,58,0,1,3,16,0,1,0,fuel,FR,mobile,0
256.88,66.64,3.855,117,1,0,3,16,0,1,1,grocery,FR,mobile,0
83.57,203.75,0.4102,774,0,0,6,0,1,1,0,fuel,UK,desktop,0
132.75,98.67,1.3455,343,1,2,10,10,0,0,0,grocery,US,mobile,0
141.7,31.16,4.5478,353,0,0,6,20,0,1,0,travel,CA,desktop,0
21.27,55.29,0.3847,59,0,0,7,22,1,1,0,fuel,BR,mobile,0
122.34,40.84,2.9956,113,0,2,7,9,0,1,0,restaurant,DE,tablet,0
55.43,90.79,0.6106,144,0,2,8,21,0,1,0,restaurant,AU,mobile,0
18.2,108.44,0.1678,801,0,2,6,22,1,0,0,electronics,US,mobile,0
91.87,43.65,2.1048,522,0,0,6,13,0,0,0,restaurant,US,tablet,0
62.02,31.01,2.0,166,0,2,9,4,1,0,0,grocery,US,desktop,0
250.99,81.17,3.0921,134,0,1,11,14,0,1,0,grocery,UK,desktop,0
18.14,94.5,0.192,474,0,1,5,12,0,1,0,casino,IN,tablet,0
234.59,99.89,2.3484,944,0,0,5,17,0,0,0,financial,US,pos,0
45.37,91.91,0.4936,787,0,2,3,4,1,1,0,travel,IN,mobile,0
112.31,53.29,2.1075,107,0,2,8,10,0,0,0,restaurant,US,pos,0
25.55,15.44,1.6546,167,0,1,8,5,1,1,1,casino,IN,tablet,0
918.63,44.77,20.5181,734,0,1,6,0,1,0,0,food_delivery,US,mobile,0
76.82,95.05,0.8082,67,1,3,2,11,0,0,1,travel,US,mobile,0
28.47,64.44,0.4419,4,0,4,5,14,0,1,0,fuel,IN,desktop,0
49.45,79.61,0.6211,63,0,0,6,21,0,0,0,restaurant,US,tablet,0
16.91,25.43,0.6651,191,0,3,4,5,1,1,0,grocery,IN,desktop,0
84.38,54.83,1.5391,149,0,0,7,15,0,0,0,financial,US,desktop,0
22.13,55.96,0.3954,221,0,2,5,22,1,1,0,fuel,SG,mobile,0
53.15,80.81,0.6577,545,0,1,5,23,1,0,0,restaurant,US,desktop,0
27.74,57.3,0.4841,825,0,1,6,10,0,0,0,restaurant,US,mobile,0
198.06,50.87,3.8937,349,0,0,6,17,0,1,0,fashion,BR,mobile,0
268.49,30.18,8.8951,29,1,1,9,0,1,0,0,grocery,US,tablet,1
62.98,73.78,0.8536,143,0,2,10,20,0,1,0,digital,IN,mobile,0
71.42,67.14,1.0638,258,0,2,7,23,1,1,0,food_delivery,FR,desktop,0
62.98,42.39,1.4859,530,0,0,9,14,0,0,0,travel,US,tablet,0
49.14,33.31,1.4751,180,0,0,6,7,0,1,0,fuel,SG,desktop,0
67.36,228.72,0.2945,376,0,0,3,9,0,1,0,electronics,IN,mobile,0
172.64,39.12,4.4135,726,0,2,8,2,1,1,0,fashion,FR,pos,0
79.79,93.04,0.8575,100,0,0,5,1,1,1,1,electronics,CA,mobile,0
42.05,51.28,0.82,24,0,3,2,13,0,1,0,grocery,AU,tablet,0
178.01,26.49,6.7192,11,0,0,9,15,0,0,0,restaurant,US,mobile,0
40.49,117.66,0.3441,30,0,0,9,9,0,1,0,grocery,IN,mobile,0
20.43,66.38,0.3078,155,0,3,4,18,0,1,0,fuel,IN,mobile,0
27.05,72.51,0.3731,169,0,0,7,13,0,1,0,restaurant,IN,mobile,0
72.24,59.69,1.2102,1005,0,1,4,9,0,1,0,grocery,FR,mobile,0
46.44,50.55,0.9187,1088,0,0,3,10,0,0,0,grocery,US,tablet,0
447.37,73.58,6.0799,99,0,0,6,1,1,1,0,fashion,IN,mobile,1
65.77,74.5,0.8829,380,0,2,8,22,1,1,0,grocery,UK,desktop,0
50.14,32.44,1.5455,903,0,1,8,10,0,0,0,financial,US,mobile,0
211.2,23.77,8.8866,343,0,2,9,16,0,1,1,fashion,UK,mobile,0
44.33,42.54,1.0421,104,0,1,4,18,0,0,0,restaurant,US,mobile,0
78.78,58.76,1.3408,56,0,1,9,8,0,1,0,fashion,UK,tablet,0
314.61,117.5,2.6774,27,0,0,6,16,0,0,1,grocery,US,mobile,0
102.27,90.92,1.1249,270,0,0,6,10,0,1,0,financial,FR,desktop,0
197.71,178.24,1.1092,189,0,1,7,18,0,0,0,fuel,US,mobile,0
43.54,64.24,0.6778,53,0,0,9,8,0,1,0,food_delivery,UK,mobile,0
9.2,22.62,0.4067,231,0,1,3,13,0,1,0,grocery,UK,desktop,0
50.36,30.86,1.6322,239,0,1,5,13,0,1,0,fuel,IN,mobile,0
91.58,47.25,1.9381,13,0,0,5,8,0,1,0,fuel,UK,tablet,0
499.11,83.38,5.9858,186,1,0,4,1,1,1,0,financial,AU,tablet,1
23.05,44.43,0.5189,184,0,1,5,12,0,0,0,fashion,US,desktop,0
195.89,54.23,3.6119,234,0,1,7,11,0,1,0,fuel,DE,mobile,0
109.83,78.91,1.3919,432,0,0,7,16,0,1,0,restaurant,IN,desktop,0
85.87,52.1,1.6482,241,0,1,5,20,0,1,0,restaurant,DE,tablet,0
61.29,50.37,1.2167,326,0,1,1,9,0,1,0,fashion,AU,desktop,0
110.49,83.48,1.3237,225,0,1,5,11,0,1,0,fuel,UK,mobile,0
85.75,16.46,5.2091,626,0,0,5,0,1,0,0,grocery,US,mobile,0
58.25,89.47,0.6511,417,0,2,10,18,0,1,0,digital,IN,mobile,0
41.41,86.75,0.4774,31,1,1,7,20,0,1,0,financial,IN,desktop,0
126.56,75.18,1.6835,24,0,1,5,5,1,0,0,grocery,US,mobile,0
35.41,134.8,0.2627,487,1,0,3,18,0,1,0,fashion,UK,mobile,0
27.29,110.58,0.2468,284,0,3,7,18,0,1,1,grocery,DE,desktop,0
320.12,110.18,2.9056,143,0,1,6,12,0,1,0,travel,FR,desktop,0
24.61,48.25,0.5101,368,0,0,3,18,0,0,0,restaurant,US,tablet,0
107.55,65.54,1.641,390,0,1,5,20,0,1,1,electronics,DE,mobile,0
32.86,44.08,0.7454,73,0,2,6,15,0,0,0,travel,US,desktop,0
61.2,127.12,0.4814,125,0,1,3,23,1,0,1,food_delivery,US,mobile,0
136.18,51.68,2.635,231,0,2,7,9,0,1,0,grocery,IN,desktop,0
66.87,110.01,0.6078,345,0,1,5,11,0,1,0,financial,IN,mobile,0
41.15,51.65,0.7968,271,1,3,5,0,1,1,0,restaurant,IN,tablet,1
27.02,44.87,0.6021,960,0,1,5,9,0,1,0,grocery,AU,desktop,0
17.72,131.33,0.1349,203,0,0,4,21,0,0,0,fashion,US,desktop,0
110.09,109.22,1.0079,81,0,0,5,21,0,1,0,restaurant,IN,tablet,0
204.89,141.84,1.4445,197,0,0,4,14,0,0,0,digital,US,mobile,0
57.46,34.25,1.6775,389,0,1,3,11,0,0,0,food_delivery,US,desktop,0
20.46,33.6,0.609,609,1,1,4,15,0,0,0,restaurant,US,tablet,0
233.48,26.39,8.8482,666,0,0,10,17,0,1,1,financial,DE,pos,0
11.29,72.09,0.1566,143,0,0,5,12,0,1,0,restaurant,IN,mobile,0
72.33,55.06,1.3135,46,0,0,9,11,0,1,0,fuel,IN,desktop,0
45.01,53.86,0.8356,65,0,0,7,3,1,1,0,restaurant,IN,mobile,0
510.07,83.81,6.0859,629,0,3,9,11,0,0,0,financial,US,desktop,0
74.4,44.1,1.687,212,0,0,2,6,0,0,0,grocery,US,mobile,0
56.2,25.5,2.204,298,0,2,5,5,1,1,1,grocery,UK,mobile,0
39.33,27.39,1.4361,193,0,2,7,17,0,1,0,fuel,BR,tablet,0
179.19,36.16,4.9548,160,0,0,7,19,0,1,1,casino,FR,tablet,0
238.14,70.33,3.386,370,0,1,10,10,0,0,1,financial,US,pos,0
6.92,76.99,0.0899,424,0,0,11,22,1,1,0,food_delivery,IN,mobile,0
127.77,117.25,1.0897,26,0,0,3,12,0,1,1,financial,IN,mobile,0
94.49,37.35,2.5296,139,0,1,6,0,1,1,0,financial,BR,desktop,0
67.84,46.47,1.4598,96,0,1,8,18,0,0,0,fuel,US,mobile,0
431.62,76.75,5.6236,540,0,0,4,20,0,0,0,restaurant,US,desktop,0
174.39,46.57,3.7446,164,0,3,7,17,0,1,0,food_delivery,SG,desktop,0
62.06,59.08,1.0505,104,1,2,1,17,0,0,1,electronics,US,desktop,0
34.26,70.18,0.4882,281,0,2,6,15,0,1,0,restaurant,AE,mobile,0
10.57,152.77,0.0692,446,0,3,9,14,0,1,0,grocery,UK,mobile,0
38.96,91.45,0.426,668,0,0,7,3,1,1,1,food_delivery,IN,mobile,0
17.32,43.73,0.396,250,1,0,4,14,0,0,0,restaurant,US,tablet,0
163.47,118.49,1.3796,700,0,2,8,20,0,1,0,financial,AU,mobile,0
35.09,51.4,0.6826,318,0,3,5,8,0,0,0,restaurant,US,mobile,0
30.52,96.59,0.3159,765,0,2,2,5,1,1,0,grocery,IN,mobile,0
322.71,74.56,4.3279,242,0,1,4,10,0,0,0,digital,US,mobile,0
67.54,27.68,2.4396,207,0,2,10,18,0,0,0,grocery,US,mobile,0
31.2,66.72,0.4676,1521,0,1,5,22,1,1,0,grocery,DE,desktop,0
131.97,74.95,1.7608,735,1,0,3,9,0,0,0,fashion,US,desktop,0
16.68,15.28,1.0917,2,0,1,8,7,0,1,1,digital,UK,mobile,0
34.69,64.05,0.5416,10,0,1,8,22,1,1,0,grocery,DE,desktop,0
62.29,115.03,0.5415,96,0,1,6,21,0,1,0,restaurant,IN,mobile,0
21.98,61.29,0.3587,440,0,1,4,15,0,1,0,food_delivery,UK,desktop,0
64.57,45.22,1.4278,1462,0,0,2,17,0,0,0,casino,US,mobile,0
54.44,71.11,0.7656,78,0,2,5,15,0,1,0,fuel,BR,mobile,0
110.84,106.41,1.0416,265,0,0,4,5,1,0,0,grocery,US,mobile,0
74.29,119.31,0.6226,24,0,0,6,18,0,1,0,grocery,UK,desktop,0
58.34,82.55,0.7067,955,0,0,6,17,0,1,0,restaurant,BR,desktop,0
100.41,48.87,2.0547,575,1,1,1,21,0,1,1,grocery,BR,desktop,0
47.1,34.79,1.3538,125,0,1,6,15,0,0,0,travel,US,tablet,0
46.49,99.62,0.4667,735,0,3,3,19,0,0,0,grocery,US,mobile,0
108.92,48.0,2.2691,877,0,0,0,21,0,1,0,fuel,AU,mobile,0
151.05,38.36,3.9379,196,0,2,0,1,1,1,0,travel,AU,mobile,0
21.24,24.39,0.8711,151,0,0,6,8,0,1,0,fashion,UK,mobile,0
113.49,22.79,4.9797,187,1,2,5,11,0,0,0,grocery,US,mobile,0
50.54,99.76,0.5066,796,0,1,15,15,0,1,0,food_delivery,IN,desktop,0
73.5,55.12,1.3334,250,0,0,5,14,0,1,1,travel,AE,mobile,0
220.45,86.67,2.5434,681,0,0,3,18,0,0,0,food_delivery,US,mobile,0
33.17,131.26,0.2527,84,0,1,5,10,0,1,1,grocery,BR,mobile,0
19.22,117.35,0.1638,260,0,0,2,18,0,1,0,grocery,IN,mobile,0
32.29,17.14,1.8838,336,0,2,5,21,0,1,0,financial,FR,desktop,0
97.68,32.19,3.0341,1589,0,1,5,22,1,0,0,restaurant,US,desktop,0
108.39,59.86,1.8108,83,0,0,7,9,0,0,0,restaurant,US,mobile,0
193.29,94.12,2.0535,635,0,1,7,18,0,0,0,fuel,US,pos,0
47.58,82.97,0.5735,171,0,2,3,17,0,1,0,electronics,AU,desktop,0
191.6,183.55,1.0439,1280,0,0,7,22,1,1,0,financial,DE,mobile,0
50.31,86.69,0.5803,564,0,1,7,17,0,1,0,restaurant,UK,mobile,0
19.65,51.96,0.3781,803,0,1,9,14,0,1,0,financial,AE,mobile,0
41.3,49.41,0.8359,1441,0,2,8,12,0,0,0,grocery,US,mobile,0
86.34,37.64,2.294,241,1,0,5,20,0,1,0,fashion,AU,mobile,0
1040.21,83.69,12.4287,330,0,0,5,8,0,0,0,electronics,US,mobile,0
26.46,54.19,0.4883,422,0,3,8,19,0,0,0,grocery,US,pos,0
201.77,22.3,9.046,36,1,3,4,18,0,1,0,grocery,IN,tablet,0
149.05,93.97,1.5861,250,0,0,5,20,0,1,0,restaurant,SG,desktop,0
44.62,65.93,0.6768,398,0,0,4,8,0,1,1,casino,DE,tablet,0
120.9,77.8,1.5541,270,0,2,3,13,0,0,0,fashion,US,mobile,0
25.15,33.65,0.7475,251,0,0,4,19,0,1,0,financial,SG,desktop,0
24.75,153.59,0.1611,2145,0,2,5,11,0,1,0,food_delivery,FR,tablet,0
16.39,42.77,0.3832,210,0,0,4,11,0,1,0,fuel,FR,tablet,0
35.01,137.7,0.2543,383,0,1,5,14,0,1,0,food_delivery,IN,desktop,0
68.27,72.15,0.9462,12,0,0,3,19,0,0,1,grocery,US,tablet,0
10.99,53.88,0.204,157,1,1,3,13,0,0,0,grocery,US,mobile,0
132.78,170.2,0.7801,464,0,3,8,6,0,1,0,digital,UK,mobile,0
92.18,71.21,1.2945,28,1,0,2,12,0,0,0,food_delivery,US,desktop,0
56.16,71.17,0.7891,499,0,3,8,14,0,1,0,restaurant,UK,mobile,0
60.45,53.93,1.1208,526,0,0,3,12,0,1,0,fashion,IN,mobile,0
269.57,17.97,15.0023,465,0,0,4,18,0,1,1,electronics,UK,desktop,0
44.06,105.72,0.4167,847,0,1,8,0,1,1,0,digital,BR,desktop,0
34.73,54.39,0.6384,80,0,1,6,12,0,1,0,electronics,IN,desktop,0
42.97,54.65,0.7862,407,1,0,8,15,0,1,0,restaurant,IN,mobile,0
70.29,38.35,1.833,157,0,1,4,19,0,0,0,restaurant,US,mobile,0
19.95,48.3,0.413,403,1,4,5,12,0,0,0,fuel,US,tablet,0
154.57,37.57,4.1137,473,1,1,12,23,1,0,1,electronics,US,mobile,1
15.8,117.5,0.1344,856,0,0,8,17,0,0,1,digital,US,desktop,0
142.79,28.58,4.9967,209,0,1,8,13,0,1,1,fuel,IN,mobile,0
1318.68,20.47,64.4215,664,0,2,7,11,0,1,0,restaurant,IN,mobile,0
290.83,31.61,9.2006,91,0,1,6,14,0,1,0,restaurant,SG,mobile,0
195.9,130.0,1.5069,426,0,1,10,19,0,0,0,food_delivery,US,desktop,0
23.17,35.46,0.6534,223,0,1,5,23,1,0,0,food_delivery,US,mobile,0
143.24,104.88,1.3658,60,0,0,5,6,0,1,0,grocery,FR,mobile,0
43.03,17.19,2.5034,569,0,4,9,11,0,0,0,grocery,US,mobile,0
145.71,43.77,3.3287,105,0,1,3,16,0,1,0,fashion,UK,desktop,0
138.95,55.29,2.5133,1376,0,1,5,14,0,1,0,grocery,FR,desktop,0
45.52,34.23,1.3301,654,0,0,8,10,0,1,0,digital,UK,mobile,0
21.76,64.1,0.3396,1111,0,6,3,9,0,0,0,restaurant,US,mobile,0
47.45,65.66,0.7226,415,0,2,6,14,0,0,0,grocery,US,mobile,0
38.0,34.33,1.1071,575,0,1,6,20,0,1,0,financial,AE,mobile,0
97.2,34.24,2.8387,849,0,1,9,19,0,1,0,grocery,AU,mobile,0
160.95,67.51,2.384,1202,0,1,4,12,0,1,0,restaurant,FR,mobile,0
57.92,137.51,0.4212,68,0,0,4,10,0,0,1,grocery,US,pos,0
31.34,106.07,0.2955,427,0,0,5,11,0,1,0,grocery,IN,mobile,0
51.71,112.8,0.4585,2354,0,0,4,16,0,1,0,grocery,DE,desktop,0
138.32,98.1,1.4101,417,0,0,4,9,0,0,0,grocery,US,mobile,0
54.24,100.94,0.5374,603,0,1,3,8,0,1,0,grocery,SG,desktop,0
72.63,50.77,1.4305,695,1,2,6,7,0,1,0,grocery,SG,desktop,0
71.26,45.99,1.5495,172,0,3,3,16,0,0,0,fashion,US,desktop,0
18.68,121.88,0.1533,84,0,0,6,17,0,0,0,travel,US,mobile,0
27.18,52.57,0.517,242,0,1,6,18,0,0,0,restaurant,US,mobile,0
33.76,40.84,0.8266,60,0,1,5,7,0,1,0,restaurant,IN,mobile,0
105.51,100.04,1.0547,174,0,0,7,1,1,1,1,fuel,IN,mobile,0
46.21,45.04,1.026,833,0,2,4,17,0,1,0,digital,DE,mobile,0
235.02,70.67,3.3254,9,1,2,6,20,0,1,0,digital,IN,pos,0
112.79,20.45,5.5143,214,0,1,6,14,0,0,0,grocery,US,mobile,0
362.59,87.81,4.1293,779,0,1,7,12,0,0,0,grocery,US,desktop,0
226.18,29.52,7.661,137,0,0,3,7,0,1,0,restaurant,IN,pos,0
203.24,74.95,2.7115,98,0,2,10,8,0,1,0,restaurant,IN,tablet,0
123.09,58.6,2.1006,90,0,0,9,19,0,1,1,fashion,CA,desktop,0
58.48,228.45,0.256,628,0,1,2,10,0,0,0,restaurant,US,mobile,0
212.91,62.85,3.3877,684,0,1,2,19,0,1,0,grocery,BR,desktop,0
113.74,80.37,1.4152,466,1,0,6,12,0,0,0,restaurant,US,tablet,0
492.62,78.56,6.2707,779,0,0,4,22,1,1,0,fashion,DE,desktop,0
86.24,41.76,2.0651,294,1,2,10,14,0,0,0,grocery,US,mobile,0
51.07,105.1,0.4859,100,1,1,8,8,0,0,1,digital,US,mobile,0
72.7,74.81,0.9718,150,0,1,7,5,1,1,0,grocery,IN,desktop,0
53.87,93.83,0.5742,36,0,5,6,17,0,1,0,financial,FR,mobile,0
26.27,219.58,0.1196,844,1,2,7,12,0,0,0,grocery,US,mobile,0
265.67,29.48,9.0129,138,0,1,5,18,0,0,0,digital,US,desktop,0
51.97,78.23,0.6644,383,1,3,8,16,0,1,0,financial,IN,mobile,0
127.83,67.61,1.8908,86,0,1,5,12,0,1,1,casino,UK,mobile,0
7.8,31.09,0.251,500,1,1,2,12,0,0,0,food_delivery,US,desktop,0
66.58,30.79,2.1623,127,0,0,4,5,1,0,0,food_delivery,US,mobile,0
76.19,96.92,0.7861,205,0,2,8,5,1,1,0,electronics,DE,tablet,0
82.99,160.92,0.5158,399,0,2,11,10,0,0,0,food_delivery,US,pos,0
15.31,126.28,0.1212,86,0,0,3,23,1,0,0,grocery,US,pos,0
72.7,99.82,0.7283,28,0,1,2,16,0,0,0,fashion,US,mobile,0
20.12,73.36,0.2743,295,0,1,3,19,0,1,0,fuel,UK,mobile,0
32.58,92.7,0.3514,1080,0,1,4,15,0,1,0,digital,SG,mobile,0
67.18,64.35,1.044,844,0,2,5,10,0,1,0,fuel,FR,tablet,0
62.86,107.21,0.5863,11,0,2,10,15,0,1,0,restaurant,BR,tablet,0
32.73,46.34,0.7062,150,0,0,9,3,1,1,1,electronics,UK,mobile,0
69.07,106.39,0.6492,180,0,0,9,1,1,0,0,restaurant,US,mobile,0
108.14,108.65,0.9953,637,0,2,2,16,0,1,0,grocery,AE,mobile,0
434.57,76.15,5.7067,392,0,1,13,9,0,0,0,fuel,US,mobile,0
81.35,267.57,0.304,84,0,4,3,21,0,1,0,restaurant,BR,mobile,0
36.1,47.41,0.7615,1315,0,1,2,7,0,0,0,restaurant,US,mobile,0
276.54,142.44,1.9414,511,0,1,6,13,0,1,0,restaurant,UK,desktop,0
108.79,44.66,2.4362,523,0,0,2,21,0,1,0,restaurant,AE,desktop,0
173.22,78.53,2.2057,132,1,0,6,10,0,1,0,restaurant,AU,mobile,0
27.3,57.83,0.4721,94,0,0,8,8,0,1,0,restaurant,AU,mobile,0
29.83,153.1,0.1948,1405,0,2,4,20,0,1,0,travel,BR,mobile,0
13.8,74.26,0.1858,758,1,3,6,1,1,1,0,restaurant,IN,desktop,0
134.16,37.51,3.5761,116,0,2,6,22,1,0,0,financial,US,mobile,0
288.23,79.55,3.6233,197,0,1,2,10,0,1,0,financial,IN,mobile,0
33.6,34.68,0.969,464,0,1,8,5,1,0,0,fuel,US,tablet,0
109.9,73.6,1.4932,495,0,2,3,13,0,1,0,restaurant,IN,mobile,0
135.37,71.96,1.881,477,0,1,3,10,0,0,0,fashion,US,tablet,0
82.22,25.47,3.2276,505,0,1,8,7,0,1,1,digital,CA,desktop,0
186.32,156.62,1.1896,94,0,3,2,8,0,1,0,electronics,FR,mobile,0
63.22,72.03,0.8777,1572,0,0,8,15,0,0,0,food_delivery,US,mobile,0
33.23,126.73,0.2622,918,0,0,6,17,0,1,0,fashion,UK,desktop,0
18.79,134.28,0.1399,233,1,1,8,23,1,1,0,electronics,FR,mobile,0
86.17,65.21,1.3214,833,0,1,3,20,0,1,0,restaurant,AU,mobile,0
